"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.973087750E-1,2.760827541E-3,1.090887040E-1,-5.540847778E-3
2.998114650E-1,-3.247708082E-2,7.456822693E-2,-1.021232605E-1
3.023140050E-1,-5.774199963E-2,1.640577018E-1,-1.462621689E-1
3.048165050E-1,-1.590242386E-1,3.011576235E-1,-1.258583069E-1
3.073191950E-1,-2.330660224E-1,4.090622663E-1,-1.694774628E-1
3.098217360E-1,-2.908905149E-1,4.631008506E-1,-1.903877258E-1
3.123244260E-1,-2.036498189E-1,4.878796339E-1,-1.754951477E-1
3.148269190E-1,-1.789166927E-1,5.698122382E-1,-2.395105362E-1
3.173293800E-1,-1.649062037E-1,5.861175060E-1,-2.356109619E-1
3.198320700E-1,-9.249275923E-2,5.720831156E-1,-2.455072403E-1
3.223346110E-1,-9.028136730E-3,5.379256010E-1,-3.250503540E-1
3.248373010E-1,7.654279470E-2,5.160222650E-1,-3.475580215E-1
3.273397700E-1,7.947105169E-2,4.455490112E-1,-3.502264023E-1
3.298423060E-1,1.262348890E-2,3.993279338E-1,-3.161945343E-1
3.323449990E-1,-2.056723833E-2,4.234095216E-1,-3.387584686E-1
3.348475390E-1,-3.537148237E-2,3.795019984E-1,-4.058094025E-1
3.373500060E-1,-4.080277681E-2,3.773760200E-1,-3.870992661E-1
3.398526960E-1,-5.491608381E-2,3.949939311E-1,-3.891668320E-1
3.423552360E-1,-5.960321426E-2,3.700246811E-1,-4.281625748E-1
3.448579270E-1,-4.447525740E-2,3.551595807E-1,-4.282455444E-1
3.473604720E-1,7.354855537E-3,3.817334771E-1,-4.683837891E-1
3.498629340E-1,2.507686615E-3,3.977188468E-1,-4.833955765E-1
3.523657010E-1,-4.671907425E-2,4.765210748E-1,-4.784231186E-1
3.548681640E-1,4.628914595E-2,5.263413787E-1,-5.474481583E-1
3.573708310E-1,9.518772364E-2,5.366063714E-1,-6.103239059E-1
3.598732940E-1,9.510219097E-2,5.705118775E-1,-6.022586823E-1
3.623758310E-1,4.064667225E-2,6.440391541E-1,-6.259584427E-1
3.648785230E-1,5.071628094E-2,6.397746801E-1,-6.619873047E-1
3.673810730E-1,2.910470963E-2,6.675670147E-1,-7.195587158E-1
3.698837630E-1,4.804599285E-2,7.162815332E-1,-7.815351486E-1
3.723862260E-1,4.570174217E-2,7.354862690E-1,-7.878923416E-1
