"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.673810730E-1,-2.490125000E-1,5.637500063E-2,1.182499994E-2
3.698837630E-1,-2.543750107E-1,7.864999771E-2,2.447500080E-2
3.723862260E-1,-2.575374842E-1,1.031249985E-1,3.203750029E-2
3.748889940E-1,-2.586374879E-1,1.244374961E-1,4.688749835E-2
3.773914770E-1,-2.608374953E-1,1.457500011E-1,5.967500061E-2
3.798940160E-1,-2.671625018E-1,1.691250056E-1,7.672499865E-2
3.823967060E-1,-2.671625018E-1,1.893374920E-1,8.731249720E-2
3.848992460E-1,-2.671625018E-1,2.169750035E-1,1.021625027E-1
3.874016890E-1,-2.725250125E-1,2.393874973E-1,1.203124970E-1
3.899043790E-1,-2.692250013E-1,2.690874934E-1,1.362625062E-1
3.924069200E-1,-2.639999986E-1,2.968625128E-1,1.533125043E-1
3.949096100E-1,-2.575374842E-1,3.222999871E-1,1.724250019E-1
3.974120930E-1,-2.490125000E-1,3.467749953E-1,1.894749999E-1
3.999146290E-1,-2.384250015E-1,3.628624976E-1,2.043250054E-1
4.024173210E-1,-2.267374992E-1,3.734500110E-1,2.224749923E-1
4.049198620E-1,-2.139499933E-1,3.808749914E-1,2.373249978E-1
4.074223520E-1,-1.991000026E-1,3.851374984E-1,2.543750107E-1
4.099250430E-1,-1.831499934E-1,3.873375058E-1,2.725250125E-1
4.124275830E-1,-1.681624949E-1,3.873375058E-1,2.873750031E-1
4.149302740E-1,-1.586750001E-1,3.883000016E-1,2.980999947E-1
4.174327900E-1,-1.479499936E-1,3.999874890E-1,3.140499890E-1
4.199352520E-1,-1.468500048E-1,4.277625084E-1,3.268375099E-1
4.224379420E-1,-1.511124969E-1,4.776749909E-1,3.385249972E-1
4.249404820E-1,-1.618375033E-1,5.330874920E-1,3.459500074E-1
4.274431880E-1,-1.766874939E-1,6.054124832E-1,3.522749841E-1
4.299456510E-1,-2.022625059E-1,7.055125237E-1,3.576374948E-1
4.324484180E-1,-2.287999988E-1,8.151000142E-1,3.630000055E-1
4.349508820E-1,-2.458499968E-1,9.044749737E-1,3.619000018E-1
4.374534530E-1,-2.660624981E-1,9.619500041E-1,3.650625050E-1
4.399559150E-1,-2.820124924E-1,9.960500002E-1,3.639625013E-1
4.424586820E-1,-2.927374840E-1,1.018324971E0,3.607999980E-1
4.449611460E-1,-3.022249937E-1,1.029049993E0,3.607999980E-1
4.474638360E-1,-3.150124848E-1,1.033312440E0,3.587374985E-1
4.499663770E-1,-3.235374987E-1,1.026849985E0,3.630000055E-1
4.524690670E-1,-3.289000094E-1,1.018324971E0,3.682250082E-1
4.549716070E-1,-3.331624866E-1,1.011999965E0,3.757874966E-1
4.574740690E-1,-3.374249935E-1,1.006637454E0,3.735874891E-1
4.599767830E-1,-3.405874968E-1,1.010900021E0,3.715249896E-1
4.624793240E-1,-3.437500000E-1,1.011999965E0,3.672625124E-1
4.649820140E-1,-3.502124846E-1,1.013100028E0,3.565374911E-1
4.674844780E-1,-3.522749841E-1,1.007737517E0,3.502124846E-1
4.699870190E-1,-3.544749916E-1,1.000312448E0,3.416875005E-1
4.724897110E-1,-3.544749916E-1,9.864249825E-1,3.394874930E-1
4.749922520E-1,-3.554374874E-1,9.747374654E-1,3.363249898E-1
4.774947130E-1,-3.596999943E-1,9.682750106E-1,3.289000094E-1
4.799974040E-1,-3.630000055E-1,9.704750180E-1,3.235374987E-1
4.824999580E-1,-3.619000018E-1,9.895874858E-1,3.140499890E-1
4.850026480E-1,-3.607999980E-1,1.024787545E0,3.044250011E-1
4.875051890E-1,-3.576374948E-1,1.070437551E0,2.938374877E-1
4.900076500E-1,-3.565374911E-1,1.118425012E0,2.756874859E-1
4.925103560E-1,-3.554374874E-1,1.165174961E0,2.617999911E-1
4.950128960E-1,-3.554374874E-1,1.209862471E0,2.480500042E-1
4.975155870E-1,-3.522749841E-1,1.242862463E0,2.426874936E-1
5.000181270E-1,-3.522749841E-1,1.281224966E0,2.426874936E-1
5.025205890E-1,-3.554374874E-1,1.318487525E0,2.523125112E-1
5.050232790E-1,-3.565374911E-1,1.357812524E0,2.693625093E-1
5.075258190E-1,-3.565374911E-1,1.393975019E0,2.895750105E-1
5.100285100E-1,-3.576374948E-1,1.435500026E0,3.097875118E-1
5.125309680E-1,-3.639625013E-1,1.480187535E0,3.320625126E-1
5.150335050E-1,-3.672625124E-1,1.522812486E0,3.522749841E-1
5.175361970E-1,-3.672625124E-1,1.558974981E0,3.746874928E-1
5.200386600E-1,-3.735874891E-1,1.588812470E0,3.948999941E-1
5.225414420E-1,-3.821125031E-1,1.612187505E0,4.108499885E-1
5.250439050E-1,-3.895374835E-1,1.627037525E0,4.310624897E-1
5.275464440E-1,-3.948999941E-1,1.635562539E0,4.534749985E-1
5.300491340E-1,-3.991625011E-1,1.634600043E0,4.736874998E-1
5.325516900E-1,-4.023250043E-1,1.621812463E0,4.896374941E-1
5.350543800E-1,-3.991625011E-1,1.590875030E0,5.098500252E-1
5.375568430E-1,-3.926999867E-1,1.537662506E0,5.257999897E-1
5.400593800E-1,-3.810124993E-1,1.466437459E0,5.332249999E-1
5.425620610E-1,-3.693250120E-1,1.388749957E0,5.406500101E-1
5.450646020E-1,-3.522749841E-1,1.299374938E0,5.449125171E-1
5.475670630E-1,-3.309625089E-1,1.196112514E0,5.417500138E-1
5.500697530E-1,-3.097875118E-1,1.091750026E0,5.385875106E-1
5.525722990E-1,-2.853125036E-1,9.981124997E-1,5.311625004E-1
5.550749890E-1,-2.608374953E-1,9.140999913E-1,5.226374865E-1
5.575774530E-1,-2.363625020E-1,8.342124820E-1,5.087500215E-1
5.600799890E-1,-2.139499933E-1,7.757750154E-1,4.948624969E-1
5.625826770E-1,-1.991000026E-1,7.385125160E-1,4.822124839E-1
5.650852170E-1,-1.863124967E-1,7.171999812E-1,4.672249854E-1
5.675876790E-1,-1.746249944E-1,7.118374705E-1,4.566375017E-1
5.700903690E-1,-1.681624949E-1,7.235249877E-1,4.449499846E-1
5.725929040E-1,-1.639000028E-1,7.459374666E-1,4.342249930E-1
5.750955950E-1,-1.681624949E-1,7.757750154E-1,4.268000126E-1
5.775981350E-1,-1.724250019E-1,8.162000179E-1,4.182749987E-1
5.801008250E-1,-1.777874976E-1,8.586875200E-1,4.162124991E-1
5.826033230E-1,-1.894749999E-1,9.044749737E-1,4.129124880E-1
5.851058590E-1,-2.054249942E-1,9.513624907E-1,4.140124917E-1
5.876085520E-1,-2.202749997E-1,1.001274943E0,4.204750061E-1
5.901110920E-1,-2.341624945E-1,1.047062516E0,4.247374833E-1
5.926135540E-1,-2.447499931E-1,1.093950033E0,4.310624897E-1
5.951162440E-1,-2.586374879E-1,1.138637543E0,4.427500069E-1
5.976187850E-1,-2.734875083E-1,1.185387492E0,4.492124915E-1
6.001214750E-1,-2.831124961E-1,1.223749995E0,4.544374943E-1
6.026240000E-1,-2.905375063E-1,1.252487540E0,4.640625119E-1
6.051264620E-1,-2.969999909E-1,1.279024959E0,4.703874886E-1
6.076291520E-1,-2.958999872E-1,1.295112491E0,4.757499993E-1
6.101316930E-1,-2.969999909E-1,1.306800008E0,4.789125025E-1
6.126344030E-1,-2.969999909E-1,1.311062455E0,4.831750095E-1
6.151368670E-1,-2.958999872E-1,1.301437497E0,4.811125100E-1
6.176394030E-1,-2.958999872E-1,1.289749980E0,4.768500030E-1
6.201420950E-1,-2.884750068E-1,1.273800015E0,4.757499993E-1
6.226446360E-1,-2.842124999E-1,1.255650043E0,4.672249854E-1
6.251473110E-1,-2.788499892E-1,1.237637520E0,4.577375054E-1
6.276497750E-1,-2.714250088E-1,1.219487548E0,4.512749910E-1
6.301523110E-1,-2.608374953E-1,1.196112514E0,4.406875074E-1
6.326550030E-1,-2.532750070E-1,1.183325052E0,4.331249893E-1
6.351575390E-1,-2.447499931E-1,1.172737479E0,4.278999865E-1
6.376600000E-1,-2.352624983E-1,1.163112521E0,4.214375019E-1
6.401626910E-1,-2.287999988E-1,1.158849955E0,4.119499922E-1
6.426652310E-1,-2.160124928E-1,1.155687451E0,4.034250081E-1
6.451678740E-1,-2.118874937E-1,1.152387500E0,3.959999979E-1
6.476704140E-1,-2.096875012E-1,1.150324941E0,3.895374835E-1
6.501728760E-1,-2.033624947E-1,1.146062493E0,3.821125031E-1
6.526755660E-1,-2.043250054E-1,1.140699983E0,3.789499998E-1
6.551780970E-1,-2.096875012E-1,1.137537479E0,3.778499961E-1
6.576807880E-1,-2.054249942E-1,1.131212473E0,3.746874928E-1
6.601833280E-1,-2.128500044E-1,1.122687459E0,3.757874966E-1
6.626860180E-1,-2.224749923E-1,1.114162445E0,3.757874966E-1
6.651884960E-1,-2.299000025E-1,1.106737494E0,3.778499961E-1
6.676910320E-1,-2.395250052E-1,1.093950033E0,3.810124993E-1
6.701937250E-1,-2.480500042E-1,1.073737502E0,3.778499961E-1
6.726962650E-1,-2.575374842E-1,1.043900013E0,3.704249859E-1
6.751987080E-1,-2.725250125E-1,1.002375007E0,3.619000018E-1
6.777013980E-1,-2.831124961E-1,9.470999837E-1,3.448500037E-1
6.802039390E-1,-2.947999835E-1,8.799999952E-1,3.257375062E-1
6.827066290E-1,-3.097875118E-1,8.023124933E-1,3.012624979E-1
6.852090870E-1,-3.161124885E-1,7.149999738E-1,2.651000023E-1
6.877116240E-1,-3.246375024E-1,6.150375009E-1,2.235749960E-1
6.902143160E-1,-3.405874968E-1,4.989874959E-1,1.724250019E-1
6.927168570E-1,-3.511750102E-1,3.680875003E-1,1.128875017E-1
6.952195420E-1,-3.607999980E-1,2.201374918E-1,4.262499884E-2
6.977220060E-1,-3.693250120E-1,5.953750014E-2,-3.712499887E-2
7.002245420E-1,-3.821125031E-1,-1.117874980E-1,-1.244374961E-1
7.027272340E-1,-3.948999941E-1,-2.864125073E-1,-2.095499933E-1
7.052297750E-1,-4.097499847E-1,-4.512749910E-1,-2.979624867E-1
7.077322360E-1,-4.310624897E-1,-6.023874879E-1,-3.830749989E-1
7.102349270E-1,-4.523749948E-1,-7.195374966E-1,-4.628250003E-1
7.127374670E-1,-4.789125025E-1,-7.950249910E-1,-5.362499952E-1
7.152401570E-1,-5.087500215E-1,-8.237624764E-1,-6.087124944E-1
7.177426210E-1,-5.385875106E-1,-7.981874943E-1,-6.767749786E-1
7.202451570E-1,-5.747500062E-1,-7.238000035E-1,-7.353500128E-1
7.227478500E-1,-6.151750088E-1,-6.194375157E-1,-7.917249799E-1
7.252503950E-1,-6.641250253E-1,-5.013250113E-1,-8.438374996E-1
7.277528570E-1,-7.151374817E-1,-3.735874891E-1,-8.874250054E-1
7.302555470E-1,-7.726125121E-1,-2.417249978E-1,-9.172624946E-1
7.327580880E-1,-8.300874829E-1,-1.139874980E-1,-9.396749735E-1
7.352607590E-1,-8.897625208E-1,9.624999948E-4,-9.459999800E-1
7.377632990E-1,-9.450374842E-1,1.179749966E-1,-9.470999837E-1
7.402657610E-1,-9.971500039E-1,2.404875010E-1,-9.417374730E-1
7.427685280E-1,-1.019562483E0,2.585000098E-1,-9.109374881E-1
7.452709770E-1,-9.897249937E-1,9.033749998E-2,-8.438374996E-1
7.477736670E-1,-8.897625208E-1,-2.491499931E-1,-7.236624956E-1
7.502761300E-1,-7.460749745E-1,-5.917999744E-1,-5.874000192E-1
7.527788980E-1,-6.226000190E-1,-7.247624993E-1,-4.809750021E-1
7.552813420E-1,-5.491750240E-1,-6.982250214E-1,-4.010874927E-1
7.577838810E-1,-5.098500252E-1,-6.258999705E-1,-3.469125032E-1
7.602865710E-1,-4.874374866E-1,-5.502749681E-1,-3.053874969E-1
7.627891120E-1,-4.800125062E-1,-4.747875035E-1,-2.712875009E-1
7.652915540E-1,-4.757499993E-1,-3.821125031E-1,-2.457125038E-1
7.677942440E-1,-4.820750058E-1,-2.767874897E-1,-2.223374993E-1
7.702967850E-1,-4.811125100E-1,-1.885125041E-1,-2.149125040E-1
7.727994750E-1,-4.725874960E-1,-1.319999993E-1,-2.149125040E-1
7.753019390E-1,-4.575999975E-1,-9.583749622E-2,-2.202749997E-1
7.778044750E-1,-4.406875074E-1,-8.524999768E-2,-2.297624946E-1
7.803071670E-1,-4.236375093E-1,-9.267500043E-2,-2.340250015E-1
7.828097080E-1,-3.991625011E-1,-1.117874980E-1,-2.340250015E-1
7.853121550E-1,-3.735874891E-1,-1.458874941E-1,-2.351250052E-1
7.878148460E-1,-3.522749841E-1,-1.820500046E-1,-2.351250052E-1
7.903173860E-1,-3.267000020E-1,-2.278375030E-1,-2.373249978E-1
7.928200770E-1,-2.979624867E-1,-2.821500003E-1,-2.393874973E-1
7.953225980E-1,-2.682625055E-1,-3.405874968E-1,-2.414499968E-1
7.978250600E-1,-2.373249978E-1,-4.045250118E-1,-2.414499968E-1
8.003277500E-1,-2.065249979E-1,-4.640625119E-1,-2.457125038E-1
8.028302900E-1,-1.820500046E-1,-5.066875219E-1,-2.436500043E-1
8.053330330E-1,-1.629374921E-1,-5.332249999E-1,-2.404875010E-1
8.078354960E-1,-1.501500010E-1,-5.279999971E-1,-2.330625057E-1
8.103382630E-1,-1.490499973E-1,-5.087500215E-1,-2.265999913E-1
8.128407270E-1,-1.511124969E-1,-4.800125062E-1,-2.169750035E-1
8.153432460E-1,-1.639000028E-1,-4.438500106E-1,-2.169750035E-1
8.178457080E-1,-1.755875051E-1,-4.065875113E-1,-2.160124928E-1
8.203484750E-1,-1.926375031E-1,-3.810124993E-1,-2.160124928E-1
8.228511680E-1,-2.202749997E-1,-3.704249859E-1,-2.169750035E-1
8.253536260E-1,-2.447499931E-1,-3.693250120E-1,-2.202749997E-1
8.278561650E-1,-2.608374953E-1,-3.619000018E-1,-2.202749997E-1
