"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
2.958394971E0,-4.275000095E0,6.956250191E0,-3.930000305E1
2.978389988E0,-5.362500191E0,6.468750477E0,-3.920625305E1
2.998394003E0,-5.662500381E0,6.562500477E0,-3.870000076E1
3.018391816E0,-4.312500000E0,8.512500763E0,-3.993750000E1
3.038398014E0,-4.031250000E0,9.075000763E0,-3.873750305E1
3.058399098E0,-2.550000191E0,1.012500000E1,-3.864375305E1
3.078395445E0,-2.325000048E0,1.160625076E1,-3.845625305E1
3.098399824E0,-2.568750143E0,1.288125038E1,-3.928125000E1
3.118398741E0,-3.168750048E0,1.342500019E1,-3.768750000E1
3.138393957E0,-4.031250000E0,1.396875095E1,-3.738750076E1
3.158397643E0,-4.650000095E0,1.312500095E1,-3.738750076E1
3.178396402E0,-5.118750095E0,1.357500076E1,-3.748125076E1
3.198391564E0,-3.300000191E0,1.443750095E1,-3.911250305E1
3.218394935E0,-7.875000238E-1,1.329375076E1,-3.958125305E1
3.238393576E0,1.687500119E0,1.003125000E1,-4.074375153E1
3.258388601E0,2.718750000E0,8.306250572E0,-4.091250229E1
3.278391879E0,4.518750191E0,5.775000095E0,-4.138125229E1
3.298390477E0,7.237500191E0,5.025000095E0,-4.156875229E1
3.318396887E0,1.123125076E1,5.756250381E0,-4.055625153E1
3.338398002E0,1.231875038E1,6.243750095E0,-4.087500000E1
3.358394704E0,1.288125038E1,5.512500286E0,-4.065000153E1
3.378387639E0,1.166250038E1,6.956250191E0,-4.108125305E1
3.398389249E0,1.106250000E1,7.237500191E0,-4.068750000E1
3.418387107E0,9.337500572E0,7.462500095E0,-4.119375229E1
3.438392413E0,7.987500191E0,7.893750191E0,-4.149375153E1
3.458392807E0,5.943750381E0,7.837500095E0,-4.171875000E1
3.478400105E0,4.406250000E0,8.268750191E0,-4.181250000E1
3.498401905E0,3.168750048E0,9.618750572E0,-4.203750229E1
3.518398691E0,2.606250048E0,1.070625019E1,-4.205625153E1
3.538391932E0,1.706250072E0,1.050000000E1,-4.085625076E1
3.558393149E0,1.256250024E0,1.085625076E1,-4.256250000E1
3.578390684E0,7.687500119E-1,1.185000038E1,-4.117500305E1
3.598396313E0,1.087500095E0,1.351875019E1,-4.070625305E1
3.618396565E0,8.437500596E-1,1.488750076E1,-4.081875229E1
3.638392914E0,1.518750072E0,1.528125095E1,-4.051875305E1
3.658396900E0,2.756250143E0,1.494375038E1,-3.920625305E1
3.678396380E0,4.331250191E0,1.580625057E1,-3.952500153E1
