"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
5.473241310E-1,3.281817675E0,-4.843242168E0,-8.147393227E0
5.498265920E-1,3.216867685E0,-5.049192429E0,-7.628393173E0
5.523288250E-1,3.125817776E0,-5.334192276E0,-6.900443077E0
5.548312840E-1,2.960817575E0,-5.635242462E0,-6.406342983E0
5.573337460E-1,2.958867550E0,-5.927142143E0,-5.999392986E0
5.598362070E-1,3.364684820E0,-5.721323013E0,-5.424055576E0
5.623386690E-1,3.663695812E0,-6.023780823E0,-4.832458496E0
5.648411300E-1,4.164695740E0,-6.342830658E0,-4.267558098E0
5.673435920E-1,4.682476997E0,-6.539747238E0,-3.581843376E0
5.698460540E-1,5.291018486E0,-6.854623318E0,-3.034765244E0
5.723485160E-1,5.861323833E0,-7.165753365E0,-2.478749752E0
5.748509780E-1,6.421067715E0,-7.338778019E0,-1.695231915E0
5.773534400E-1,6.709519863E0,-7.564707756E0,-6.371431351E-1
5.798561210E-1,6.892121315E0,-7.734981060E0,3.176727295E-1
5.823583440E-1,6.837814331E0,-7.789819241E0,1.146102905E0
5.848610350E-1,5.990447044E0,-7.684474945E0,2.082245827E0
5.873632670E-1,4.628770828E0,-7.467785358E0,3.008258820E0
5.898659530E-1,3.211429358E0,-7.249664783E0,3.327710152E0
5.923681850E-1,2.313379288E0,-7.268714905E0,3.159709930E0
5.948708760E-1,1.836379290E0,-7.402665138E0,2.639659882E0
5.973731090E-1,1.838479280E0,-7.565714836E0,2.407760620E0
5.998757990E-1,2.020429134E0,-7.668614864E0,2.397710800E0
6.023782620E-1,2.016379356E0,-7.479615211E0,1.911710739E0
6.048804930E-1,1.972429276E0,-7.045664787E0,1.202660561E0
6.073831840E-1,1.987429142E0,-6.514665127E0,5.177602768E-1
6.098854160E-1,2.284619331E0,-5.307625294E0,1.398701668E-1
6.123881070E-1,2.214915276E0,-4.819465637E0,-5.058722496E-1
6.148903440E-1,2.026365519E0,-4.456247330E0,-1.209803581E0
6.173928040E-1,1.852124214E0,-4.168492317E0,-1.799864769E0
6.198952690E-1,1.718738556E0,-3.960637093E0,-2.370219231E0
6.223977310E-1,1.535005093E0,-3.909634829E0,-2.917024136E0
6.249001930E-1,1.373220444E0,-3.765064716E0,-3.298983097E0
6.274026400E-1,1.162738323E0,-3.767070055E0,-3.604314804E0
6.299051020E-1,9.572067261E-1,-3.856366396E0,-3.865034103E0
6.324075640E-1,7.633361816E-1,-3.984419107E0,-4.078109741E0
6.349100070E-1,5.814590454E-1,-4.152955532E0,-4.187318802E0
6.374124690E-1,3.137879372E-1,-4.331709862E0,-4.266098976E0
6.399149310E-1,1.377325058E-1,-4.303923130E0,-4.246504784E0
6.424173920E-1,-1.403675079E-1,-4.528923035E0,-4.256554604E0
6.449198530E-1,-5.042676926E-1,-4.730972767E0,-4.246504784E0
6.474223140E-1,-8.273677826E-1,-4.840922832E0,-4.189504623E0
6.499247750E-1,-1.165317535E0,-4.964972973E0,-4.127554893E0
6.524272370E-1,-1.551267624E0,-5.094872952E0,-4.009504795E0
6.549296990E-1,-1.919367313E0,-5.139873028E0,-3.961504698E0
6.574321610E-1,-2.298267841E0,-5.271872997E0,-3.913504839E0
6.599346080E-1,-2.505396843E0,-4.636218071E0,-3.582122326E0
6.624370700E-1,-2.778503895E0,-4.474323273E0,-3.382431269E0
6.649395360E-1,-3.076683998E0,-4.482787609E0,-3.269875050E0
6.674419970E-1,-3.333788872E0,-4.327209949E0,-3.083926201E0
6.699444580E-1,-3.475183010E0,-4.141914845E0,-2.931850910E0
6.724469380E-1,-3.509799004E0,-4.019561768E0,-2.721485615E0
6.749493990E-1,-3.492508411E0,-3.950349331E0,-2.522860050E0
6.774518610E-1,-3.527233124E0,-3.878138304E0,-2.302680492E0
6.799543280E-1,-3.525066853E0,-3.749601841E0,-2.037715435E0
6.824567900E-1,-3.530214310E0,-3.856864691E0,-1.816981316E0
6.849592470E-1,-3.546001434E0,-3.793883801E0,-1.538478851E0
6.874617090E-1,-3.639671326E0,-3.880660772E0,-1.309417248E0
6.899641710E-1,-3.809154510E0,-3.949943781E0,-1.170277596E0
6.924666320E-1,-4.041204453E0,-4.009943962E0,-1.043377399E0
6.949690930E-1,-4.240254402E0,-4.040993690E0,-9.713773727E-1
6.974715540E-1,-4.453254700E0,-4.057943344E0,-8.972773552E-1
6.999740150E-1,-4.613154411E0,-4.086894035E0,-8.633775711E-1
7.024764760E-1,-4.743204117E0,-4.148993492E0,-8.942775726E-1
7.049789380E-1,-4.941205025E0,-4.254893303E0,-9.263772964E-1
7.074814000E-1,-5.155254364E0,-4.316993713E0,-1.043377399E0
7.099838620E-1,-5.436456203E0,-3.717468977E0,-7.549695969E-1
7.124863380E-1,-5.822764874E0,-3.748104095E0,-8.461837769E-1
7.149888000E-1,-6.181485653E0,-3.757304668E0,-9.076566696E-1
7.174912620E-1,-6.465288162E0,-3.801187277E0,-9.292669296E-1
7.199937230E-1,-6.826713562E0,-3.684727192E0,-9.893960953E-1
7.224961750E-1,-7.133109570E0,-3.468859911E0,-1.064432621E0
7.249986360E-1,-7.374918461E0,-3.234498024E0,-1.153727531E0
7.275010970E-1,-7.651513577E0,-2.954681158E0,-1.144741535E0
7.300035720E-1,-7.863657951E0,-2.632562160E0,-1.140160561E0
7.325060340E-1,-8.078300476E0,-2.370666742E0,-1.138150215E0
7.350084210E-1,-8.238349915E0,-2.116717100E0,-1.100200176E0
7.375109570E-1,-8.416250229E0,-1.833667040E0,-1.028200150E0
7.400134210E-1,-8.552300453E0,-1.625766993E0,-8.751997948E-1
7.425158820E-1,-8.681300163E0,-1.395666838E0,-7.051000595E-1
7.450183440E-1,-8.847350121E0,-1.206666708E0,-4.271497726E-1
7.475208050E-1,-9.072350502E0,-9.837667942E-1,-1.591000557E-1
