"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.222995310E-1,-3.561249971E-1,-1.934625059E-1,-6.725124717E-1
5.248019920E-1,-6.095374823E-1,-1.285624951E-1,-6.917625070E-1
5.273044280E-1,-8.808249831E-1,2.749999985E-4,-7.385125160E-1
5.298068900E-1,-1.150050044E0,1.289750040E-1,-7.853999734E-1
5.323093520E-1,-1.408687472E0,1.769624949E-1,-8.193625212E-1
5.348118140E-1,-1.651374936E0,1.843875051E-1,-8.503000140E-1
5.373142760E-1,-1.866287470E0,2.194499969E-1,-8.801375031E-1
5.398167480E-1,-2.056725025E0,2.758249938E-1,-9.109374881E-1
5.423192090E-1,-2.235612392E0,3.599750102E-1,-9.385749698E-1
5.448216700E-1,-2.402674913E0,4.844124913E-1,-9.684125185E-1
5.473241310E-1,-2.561212540E0,6.249374747E-1,-9.950875044E-1
5.498265920E-1,-2.706000090E0,7.643625140E-1,-1.021625042E0
5.523288250E-1,-2.836899996E0,8.835750222E-1,-1.049262524E0
5.548312840E-1,-2.940025091E0,9.814749956E-1,-1.082262516E0
5.573337460E-1,-3.027337551E0,1.086799979E0,-1.118425012E0
5.598362070E-1,-3.098700047E0,1.210274935E0,-1.163112521E0
5.623386690E-1,-3.150812387E0,1.333750010E0,-1.214262486E0
5.648411300E-1,-3.183812380E0,1.452962518E0,-1.278062463E0
5.673435920E-1,-3.198662519E0,1.559249997E0,-1.353687525E0
5.698460540E-1,-3.198662519E0,1.655087471E0,-1.437700033E0
5.723485160E-1,-3.181612492E0,1.734974980E0,-1.528174996E0
5.748509780E-1,-3.148612499E0,1.801937461E0,-1.631437540E0
5.773534300E-1,-3.095400095E0,1.872200012E0,-1.739925027E0
5.798561210E-1,-3.009325027E0,1.935037494E0,-1.849512458E0
5.823583440E-1,-2.893275023E0,1.992512465E0,-1.970924973E0
5.848610350E-1,-2.761275053E0,2.038162470E0,-2.086837530E0
5.873632620E-1,-2.599575043E0,2.078587532E0,-2.183774948E0
5.898659530E-1,-2.415462494E0,2.099900007E0,-2.250737429E0
5.923681850E-1,-2.228187561E0,2.060575008E0,-2.285937548E0
5.948708760E-1,-2.056725025E0,1.948787451E0,-2.306149960E0
5.973731090E-1,-1.904649973E0,1.800837517E0,-2.322099924E0
5.998757990E-1,-1.768387437E0,1.643399954E0,-2.342312574E0
6.023782620E-1,-1.632125020E0,1.501912475E0,-2.366787434E0
6.048804930E-1,-1.506587505E0,1.403874993E0,-2.396625042E0
6.073831840E-1,-1.398100019E0,1.350662470E0,-2.428524971E0
6.098854160E-1,-1.307624936E0,1.313537478E0,-2.465787411E0
6.123881120E-1,-1.238462448E0,1.279437542E0,-2.501950026E0
6.148903440E-1,-1.196937442E0,1.262387514E0,-2.533849955E0
6.173928040E-1,-1.180987477E0,1.260324955E0,-2.566849947E0
6.198952690E-1,-1.186212540E0,1.268849969E0,-2.595587492E0
6.223977310E-1,-1.209725022E0,1.280537486E0,-2.626387596E0
6.249001930E-1,-1.247949958E0,1.291124940E0,-2.663650036E0
6.274026400E-1,-1.299100041E0,1.298550010E0,-2.692387581E0
6.299051020E-1,-1.354375005E0,1.301712513E0,-2.716862440E0
6.324075450E-1,-1.417212486E0,1.302812457E0,-2.749862432E0
6.349100070E-1,-1.486374974E0,1.310237527E0,-2.781762600E0
6.374124690E-1,-1.559800029E0,1.319862485E0,-2.812700033E0
6.399149310E-1,-1.634325027E0,1.333750010E0,-2.846800089E0
6.424173920E-1,-1.708850026E0,1.352862477E0,-2.879800081E0
6.449198530E-1,-1.778975010E0,1.374174953E0,-2.905237436E0
6.474223140E-1,-1.844012499E0,1.392187476E0,-2.932874918E0
6.499247750E-1,-1.905612469E0,1.409237504E0,-2.951025009E0
6.524272370E-1,-1.963087440E0,1.418862462E0,-2.963812590E0
6.549296990E-1,-2.009974957E0,1.422024965E0,-2.971237421E0
6.574321460E-1,-2.056725025E0,1.415699959E0,-2.971237421E0
6.599346080E-1,-2.104712486E0,1.400712490E0,-2.961612463E0
6.624370700E-1,-2.154762506E0,1.377337456E0,-2.946762562E0
6.649395360E-1,-2.206875086E0,1.354925036E0,-2.924487591E0
6.674419970E-1,-2.255825043E0,1.332649946E0,-2.898912430E0
6.699444580E-1,-2.302574873E0,1.313537478E0,-2.867974997E0
6.724469380E-1,-2.345200062E0,1.302812457E0,-2.839237452E0
6.749493990E-1,-2.385624886E0,1.295387506E0,-2.812700033E0
6.774518660E-1,-2.420687437E0,1.297587514E0,-2.781762600E0
6.799543280E-1,-2.449424982E0,1.305974960E0,-2.760587454E0
6.824567900E-1,-2.473900080E0,1.318762541E0,-2.740375042E0
6.849592470E-1,-2.490949869E0,1.335812449E0,-2.727587461E0
6.874617090E-1,-2.497412443E0,1.358224988E0,-2.721124887E0
6.899641710E-1,-2.495212555E0,1.379400015E0,-2.716862440E0
6.924666320E-1,-2.489987373E0,1.402912498E0,-2.714799881E0
6.949690930E-1,-2.482424974E0,1.422024965E0,-2.709437370E0
6.974715540E-1,-2.469637394E0,1.439074993E0,-2.707375050E0
6.999740150E-1,-2.455887556E0,1.456125021E0,-2.705174923E0
7.024764760E-1,-2.437737465E0,1.474137545E0,-2.707375050E0
7.049789380E-1,-2.422887564E0,1.491187453E0,-2.711637497E0
7.074814000E-1,-2.405837536E0,1.507137537E0,-2.717962503E0
7.099838760E-1,-2.385624886E0,1.529549956E0,-2.726487398E0
7.124863380E-1,-2.368575096E0,1.558287501E0,-2.726487398E0
7.149888000E-1,-2.359087467E0,1.587987542E0,-2.716862440E0
7.174912620E-1,-2.351525068E0,1.613562465E0,-2.703112602E0
7.199937230E-1,-2.353724957E0,1.632812500E0,-2.689224958E0
7.224961750E-1,-2.353724957E0,1.639137506E0,-2.676437378E0
7.249986360E-1,-2.354825020E0,1.640237451E0,-2.661587477E0
7.275011110E-1,-2.356887579E0,1.634874940E0,-2.645637512E0
7.300035720E-1,-2.362250090E0,1.627449989E0,-2.626387596E0
7.325060340E-1,-2.372837543E0,1.620025039E0,-2.600950003E0
7.350084210E-1,-2.384525061E0,1.612462521E0,-2.569050074E0
7.375109570E-1,-2.396212578E0,1.613562465E0,-2.537012577E0
7.400134210E-1,-2.405837536E0,1.610399961E0,-2.498787403E0
7.425158820E-1,-2.404737473E0,1.607237458E0,-2.457262516E0
7.450183440E-1,-2.404737473E0,1.598712444E0,-2.411474943E0
7.475208050E-1,-2.396212578E0,1.577399969E0,-2.360462427E0
7.500232670E-1,-2.383562565E0,1.547562480E0,-2.303950071E0
7.525257190E-1,-2.365412474E0,1.513599992E0,-2.239049911E0
7.550281800E-1,-2.338875055E0,1.481562495E0,-2.167824984E0
7.575306010E-1,-2.298312426E0,1.452962518E0,-2.092200041E0
7.600330620E-1,-2.246200085E0,1.426287532E0,-2.014512539E0
7.625355130E-1,-2.184462547E0,1.399749994E0,-1.935724974E0
7.650379750E-1,-2.106775045E0,1.369912505E0,-1.857074976E0
7.675404370E-1,-2.017400026E0,1.336912513E0,-1.785712481E0
7.700429090E-1,-1.921700001E0,1.298550010E0,-1.723974943E0
7.725453710E-1,-1.822700024E0,1.269812465E0,-1.665537477E0
7.750478330E-1,-1.718337536E0,1.241075039E0,-1.618649960E0
7.775502950E-1,-1.615212440E0,1.219900012E0,-1.579324961E0
7.800527560E-1,-1.517174959E0,1.200649977E0,-1.544124961E0
7.825552170E-1,-1.424637437E0,1.178375006E0,-1.521849990E0
7.850576780E-1,-1.337324977E0,1.157062531E0,-1.507962465E0
7.875601390E-1,-1.261837482E0,1.137949944E0,-1.503700018E0
7.900625260E-1,-1.199000001E0,1.128324986E0,-1.505900025E0
7.925649850E-1,-1.145787477E0,1.129425049E0,-1.511124969E0
7.950674520E-1,-1.107562542E0,1.137949944E0,-1.517587543E0
7.975699130E-1,-1.075662494E0,1.145375013E0,-1.527074933E0
8.000723750E-1,-1.055312514E0,1.149637461E0,-1.532437444E0
8.025748410E-1,-1.050087452E0,1.166687489E0,-1.536700010E0
8.050773030E-1,-1.058612466E0,1.196387529E0,-1.543025017E0
8.075797650E-1,-1.077725053E0,1.235849977E0,-1.550587535E0
8.100822600E-1,-1.103299975E0,1.287962437E0,-1.565437436E0
8.125847220E-1,-1.139462471E0,1.345437527E0,-1.579324961E0
8.150871840E-1,-1.174525023E0,1.410337448E0,-1.593075037E0
8.175896610E-1,-1.212887526E0,1.467812538E0,-1.610124946E0
8.200921220E-1,-1.252212524E0,1.516762495E0,-1.628275037E0
8.225945830E-1,-1.291674972E0,1.555124998E0,-1.637762547E0
8.250970630E-1,-1.334162474E0,1.582762480E0,-1.642024994E0
8.275995240E-1,-1.374587536E0,1.608337522E0,-1.639962435E0
8.301019750E-1,-1.412950039E0,1.630612493E0,-1.626075029E0
8.326044370E-1,-1.453374982E0,1.644500017E0,-1.600499988E0
8.351068990E-1,-1.491737485E0,1.651924968E0,-1.566537499E0
8.376094370E-1,-1.525699973E0,1.650825024E0,-1.513324976E0
8.401118230E-1,-1.557737470E0,1.642300010E0,-1.446225047E0
8.426143600E-1,-1.583174944E0,1.623187542E0,-1.367437482E0
8.451167470E-1,-1.602424979E0,1.596512437E0,-1.274899960E0
8.476192830E-1,-1.617275000E0,1.563512444E0,-1.178099990E0
8.501216700E-1,-1.631162524E0,1.524187446E0,-1.065212488E0
8.526241290E-1,-1.643812537E0,1.476337433E0,-9.459999800E-1
8.551266060E-1,-1.654537439E0,1.422024965E0,-8.204625249E-1
8.576290670E-1,-1.667325020E0,1.364549994E0,-6.938250065E-1
8.601315240E-1,-1.677912474E0,1.313537478E0,-5.671874881E-1
8.626339850E-1,-1.694962502E0,1.268849969E0,-4.416500032E-1
8.651364470E-1,-1.716274977E0,1.228287458E0,-3.246375024E-1
8.676388990E-1,-1.739650011E0,1.194324970E0,-2.106499970E-1
8.701413610E-1,-1.773749948E0,1.161324978E0,-1.021625027E-1
8.726438230E-1,-1.808812499E0,1.135749936E0,-4.262499977E-3
8.751462750E-1,-1.851437449E0,1.111274958E0,8.415000141E-2
8.776487370E-1,-1.895025015E0,1.099587440E0,1.618375033E-1
8.801511980E-1,-1.942875028E0,1.100687504E0,2.287999988E-1
8.826536590E-1,-1.986600041E0,1.112375021E0,2.820124924E-1
8.851561200E-1,-2.029087543E0,1.131487489E0,3.235374987E-1
8.876585810E-1,-2.070612431E0,1.155962467E0,3.554374874E-1
8.901610420E-1,-2.104712486E0,1.187862515E0,3.745499849E-1
8.926635040E-1,-2.133450031E0,1.232550025E0,3.830749989E-1
8.951659660E-1,-2.157924891E0,1.285762548E0,3.841750026E-1
8.976684280E-1,-2.180200100E0,1.343237519E0,3.767499924E-1
9.001708710E-1,-2.192987442E0,1.401812434E0,3.619000018E-1
9.026733330E-1,-2.200412512E0,1.461349964E0,3.426499963E-1
9.051758140E-1,-2.195187569E0,1.524187446E0,3.150124848E-1
9.076782750E-1,-2.179237604E0,1.593349934E0,2.884750068E-1
9.101807360E-1,-2.144037485E0,1.677500010E0,2.564375103E-1
9.126831880E-1,-2.096187592E0,1.748724937E0,2.128500044E-1
9.151856490E-1,-2.040775061E0,1.809362531E0,1.607374996E-1
9.176881100E-1,-1.986600041E0,1.853087544E0,1.095874980E-1
9.201905960E-1,-1.933387518E0,1.882787466E0,5.967500061E-2
9.226930530E-1,-1.886500001E0,1.905200005E0,1.594999991E-2
9.251955150E-1,-1.838649988E0,1.944525003E0,-1.911249943E-2
9.276979770E-1,-1.790799975E0,1.991412520E0,-5.101250112E-2
9.302004390E-1,-1.745012522E0,2.037199974E0,-7.232499868E-2
9.327029010E-1,-1.702387452E0,2.073362589E0,-8.731249720E-2
9.352053620E-1,-1.650274992E0,2.107325077E0,-9.363749623E-2
9.377078230E-1,-1.597062469E0,2.128637552E0,-9.157499671E-2
9.402102840E-1,-1.543849945E0,2.134000063E0,-7.768750191E-2
9.427127450E-1,-1.486374974E0,2.125474930E0,-5.527500063E-2
9.452152060E-1,-1.426837444E0,2.094675064E0,-2.873750031E-2
9.477176540E-1,-1.367162466E0,2.043524981E0,1.099999994E-3
9.502198870E-1,-1.304462552E0,1.979725003E0,4.358749837E-2
9.527223460E-1,-1.244787455E0,1.909462452E0,9.679999948E-2
9.552248030E-1,-1.187312484E0,1.839200020E0,1.575749964E-1
9.577274950E-1,-1.135200024E0,1.767837524E0,2.245374918E-1
9.602297230E-1,-1.083087444E0,1.692350030E0,3.001624942E-1
9.627324130E-1,-1.027675033E0,1.624287486E0,3.799124956E-1
9.652346460E-1,-9.724000096E-1,1.554024935E0,4.650250077E-1
9.677373360E-1,-9.255124927E-1,1.486925006E0,5.523374677E-1
9.702395690E-1,-8.776624799E-1,1.416662455E0,6.353874803E-1
9.727420290E-1,-8.340749741E-1,1.354925036E0,7.140374780E-1
9.752447210E-1,-7.840250134E-1,1.309275031E0,7.959874868E-1
9.777469540E-1,-7.339749932E-1,1.277237535E0,8.727124929E-1
9.802496440E-1,-6.679750085E-1,1.243275046E0,9.407749772E-1
9.827518430E-1,-5.839625001E-1,1.204912543E0,9.993500113E-1
9.852545330E-1,-5.031124949E-1,1.159124970E0,1.056825042E0
9.877567660E-1,-4.158000052E-1,1.121862531E0,1.104674935E0
9.902594510E-1,-3.179000020E-1,1.100687504E0,1.147162437E0
9.927616840E-1,-2.231625021E-1,1.078274965E0,1.190887451E0
9.952643740E-1,-1.295250058E-1,1.055999994E0,1.232412457E0
9.977668050E-1,-4.111250117E-2,1.040050030E0,1.273800015E0
1.000269036E0,5.142499879E-2,1.053799987E0,1.309000015E0
1.002771495E0,1.504250020E-1,1.095324993E0,1.342000008E0
1.005273962E0,2.408999950E-1,1.146337509E0,1.368537545E0
1.007776423E0,3.291749954E-1,1.203812480E0,1.383525014E0
1.010278885E0,4.153875113E-1,1.265550017E0,1.385587454E0
1.012781346E0,5.016000271E-1,1.326187491E0,1.370737433E0
1.015283808E0,5.867124796E-1,1.383662462E0,1.340899944E0
1.017786269E0,6.740249991E-1,1.436874986E0,1.300475001E0
1.020288731E0,7.474499941E-1,1.488024950E0,1.248362541E0
1.022791193E0,8.049250245E-1,1.530650020E0,1.202574968E0
