"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.982812500E-1,3.805050135E0,2.491950035E0,6.154050350E0
4.007840190E-1,3.733050108E0,2.512050152E0,6.087000370E0
4.032867890E-1,3.264000177E0,2.647950172E0,5.938950062E0
4.057895580E-1,3.370950222E0,2.512050152E0,5.716050148E0
4.082923270E-1,3.709050179E0,2.308050156E0,5.635050297E0
4.107950960E-1,3.850050211E0,2.200050116E0,5.635050297E0
4.132976320E-1,4.000950336E0,2.125950098E0,5.601000309E0
4.158003990E-1,4.068000317E0,2.011049986E0,5.581950188E0
4.183031630E-1,4.099050045E0,1.924950123E0,5.587050438E0
4.208059330E-1,4.051949978E0,1.891050100E0,5.653950214E0
4.233087020E-1,3.628050089E0,2.052000046E0,5.790000439E0
4.258114670E-1,3.526950121E0,2.035050154E0,5.874000072E0
4.283142360E-1,3.694950104E0,1.908000112E0,5.989050388E0
4.308170050E-1,3.613050222E0,1.891050100E0,6.256950378E0
4.333197040E-1,3.489000082E0,1.848000050E0,6.493950367E0
4.358224710E-1,3.309000254E0,1.719000101E0,6.661950111E0
4.383252350E-1,3.156000137E0,1.606050134E0,6.789000511E0
4.408280040E-1,2.746050119E0,1.615950108E0,6.898950100E0
4.433307740E-1,2.478000164E0,1.563000083E0,6.897000313E0
4.458335430E-1,2.638950109E0,1.369050026E0,6.892050266E0
4.483360830E-1,2.719950199E0,1.249050021E0,7.074000359E0
4.508388510E-1,2.779950142E0,1.120050073E0,7.186950207E0
4.533418510E-1,2.806050062E0,9.960000515E-1,7.273050308E0
4.558443910E-1,2.806050062E0,9.259500504E-1,7.282050133E0
4.583471580E-1,2.542950153E0,9.480000734E-1,7.266000271E0
4.608499570E-1,2.368050098E0,8.809500337E-1,7.123950481E0
4.633527260E-1,2.398950100E0,7.819500566E-1,7.029000282E0
4.658554950E-1,2.410950184E0,7.200000286E-1,6.937950134E0
4.683581890E-1,2.386950016E0,7.180500627E-1,6.865950108E0
4.708610340E-1,2.416050196E0,6.940500140E-1,6.790950298E0
4.733637280E-1,2.482950211E0,5.380499959E-1,6.717000484E0
4.758664900E-1,2.485050201E0,3.580500185E-1,6.597000122E0
4.783692590E-1,2.521050215E0,2.719500065E-1,6.435000420E0
4.808720290E-1,2.518950224E0,1.999500096E-1,6.250050068E0
4.833747980E-1,2.416050196E0,8.100000024E-2,6.058950424E0
4.858775670E-1,2.358000040E0,-4.995000362E-2,5.809050083E0
4.883801080E-1,2.253000021E0,-1.240500063E-1,5.644050121E0
4.908828750E-1,2.179050207E0,-1.939500123E-1,5.419050217E0
4.933856440E-1,2.241000175E0,-3.300000131E-1,5.127000332E0
4.958884130E-1,2.149950027E0,-4.549500346E-1,4.921050072E0
4.983911820E-1,2.145000219E0,-6.060000062E-1,4.705049992E0
5.008939520E-1,2.173950195E0,-7.950000167E-1,4.456050396E0
5.033967210E-1,2.344050169E0,-8.599500656E-1,4.111050129E0
5.058994900E-1,2.599950075E0,-7.090500593E-1,3.625050068E0
5.084022400E-1,2.940000057E0,-4.759500325E-1,3.139050245E0
5.109050100E-1,3.276000261E0,-2.700000107E-1,2.739000082E0
5.134077380E-1,3.405000210E0,-4.995000362E-2,2.506950140E0
5.159105050E-1,3.952950239E0,-1.909500062E-1,2.242950201E0
5.184132450E-1,4.365000248E0,-4.260000288E-1,2.158950090E0
5.209160150E-1,4.540050030E0,-6.870000362E-1,2.239050150E0
5.234187840E-1,4.662000179E0,-9.340500236E-1,2.313000202E0
5.259215670E-1,4.729050159E0,-1.197000027E0,2.418000221E0
5.284243360E-1,4.702950001E0,-1.375050068E0,2.512050152E0
5.309268770E-1,4.606950283E0,-1.489950061E0,2.619000196E0
5.334296440E-1,4.392000198E0,-1.462950110E0,2.740950108E0
5.359324130E-1,3.946050167E0,-1.420050025E0,2.878050089E0
5.384351830E-1,3.982050180E0,-1.552050114E0,2.904000044E0
5.409379520E-1,3.831000090E0,-1.578000069E0,3.016950130E0
5.434407210E-1,3.618000269E0,-1.552050114E0,3.141000032E0
5.459434900E-1,3.537000179E0,-1.669050097E0,3.277950048E0
5.484462600E-1,3.436050177E0,-1.861050129E0,3.309000254E0
5.509490300E-1,3.358950138E0,-2.064000130E0,3.240000248E0
5.534518000E-1,3.312000275E0,-2.257950068E0,3.241950035E0
5.559545110E-1,3.364050150E0,-2.424000025E0,3.160950184E0
5.584572790E-1,3.421950102E0,-2.601000071E0,3.064950228E0
