"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.106850820E-1,-1.326874942E-1,-2.227499932E-1,1.021625027E-1
3.131878510E-1,-1.401125044E-1,-2.344374955E-1,1.117874980E-1
3.156905460E-1,-1.443749964E-1,-2.440624982E-1,1.255374998E-1
3.181933130E-1,-1.528999954E-1,-2.546499968E-1,1.372250021E-1
3.206960820E-1,-1.571625024E-1,-2.685374916E-1,1.564749926E-1
3.231988510E-1,-1.656875014E-1,-2.844874859E-1,1.692624986E-1
3.257016210E-1,-1.731124967E-1,-3.004375100E-1,1.798499972E-1
3.282043900E-1,-1.795749962E-1,-3.152875006E-1,1.915374994E-1
3.307069300E-1,-1.890625060E-1,-3.343999982E-1,2.149125040E-1
3.332099320E-1,-2.007499933E-1,-3.536500037E-1,2.512125075E-1
3.357127040E-1,-2.124374956E-1,-3.451249897E-1,2.745875120E-1
3.382151940E-1,-2.231625021E-1,-3.366000056E-1,2.851749957E-1
3.407179610E-1,-2.294874936E-1,-3.419624865E-1,2.916375101E-1
3.432207310E-1,-2.380124927E-1,-3.557125032E-1,2.990624905E-1
3.457235050E-1,-2.487374991E-1,-3.844499886E-1,3.246375024E-1
3.482262740E-1,-2.635875046E-1,-3.961375058E-1,3.491125107E-1
3.507290430E-1,-2.721124887E-1,-3.940750062E-1,3.607999980E-1
3.532318130E-1,-2.774749994E-1,-3.961375058E-1,3.639625013E-1
3.557345070E-1,-2.838000059E-1,-4.014999866E-1,3.661625087E-1
3.582372740E-1,-2.943874896E-1,-4.089249969E-1,3.628624976E-1
3.607400430E-1,-3.051125109E-1,-4.196499884E-1,3.511750102E-1
3.632428130E-1,-3.114374876E-1,-4.324375093E-1,3.352249861E-1
3.657455820E-1,-3.210625052E-1,-4.387624860E-1,3.172124922E-1
3.682483510E-1,-3.273875117E-1,-4.430249929E-1,3.011249900E-1
3.707508910E-1,-3.338499963E-1,-4.526500106E-1,2.851749957E-1
3.732536640E-1,-3.423750103E-1,-4.621374905E-1,2.777499855E-1
3.757566640E-1,-3.455374837E-1,-4.632374942E-1,2.756874859E-1
3.782591700E-1,-3.455374837E-1,-4.675000012E-1,2.703250051E-1
3.807619370E-1,-3.486999869E-1,-4.675000012E-1,2.671625018E-1
3.832647070E-1,-3.508999944E-1,-4.675000012E-1,2.649624944E-1
3.857674760E-1,-3.540624976E-1,-4.632374942E-1,2.575374842E-1
3.882702500E-1,-3.529624939E-1,-4.589749873E-1,2.447499931E-1
3.907730190E-1,-3.583250046E-1,-4.600749910E-1,2.276999950E-1
3.932757140E-1,-3.763374984E-1,-4.621374905E-1,2.117500007E-1
3.957784810E-1,-3.922874928E-1,-4.717625082E-1,1.989624947E-1
3.982812500E-1,-4.083749950E-1,-4.780874848E-1,1.894749999E-1
4.007840190E-1,-4.338124990E-1,-4.771249890E-1,1.852124929E-1
4.032867890E-1,-4.604874849E-1,-4.728625119E-1,1.915374994E-1
4.057895580E-1,-4.849624932E-1,-4.728625119E-1,2.149125040E-1
4.082923270E-1,-5.157625079E-1,-4.558124840E-1,2.319625020E-1
4.107950910E-1,-5.467000008E-1,-4.291374981E-1,2.299000025E-1
4.132976320E-1,-5.796999931E-1,-4.174500108E-1,2.310000062E-1
4.158003990E-1,-6.169624925E-1,-4.131875038E-1,2.267374992E-1
4.183031630E-1,-6.498249769E-1,-4.185499847E-1,2.160124928E-1
4.208059330E-1,-6.870874763E-1,-4.291374981E-1,2.074874938E-1
4.233086980E-1,-7.233874798E-1,-4.441249967E-1,2.000624985E-1
4.258114670E-1,-7.510250211E-1,-4.706625044E-1,2.117500007E-1
4.283142360E-1,-7.743999958E-1,-4.982999861E-1,2.267374992E-1
4.308170090E-1,-7.935125232E-1,-5.196124911E-1,2.256374955E-1
