"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.907730190E-1,9.993383884E-1,-9.267969131E-1,-2.198338985E0
3.932757140E-1,7.895011902E-1,-8.162798882E-1,-2.313268185E0
3.957784810E-1,6.524012089E-1,-7.562799454E-1,-2.428318024E0
3.982812500E-1,5.045011044E-1,-7.352800369E-1,-2.498218060E0
4.007840190E-1,4.325010777E-1,-7.151799202E-1,-2.565268040E0
4.032867890E-1,-3.654885292E-2,-5.792798996E-1,-2.713318348E0
4.057895580E-1,7.040119171E-2,-7.151799202E-1,-2.936218262E0
4.082923270E-1,4.085011482E-1,-9.191799164E-1,-3.017218113E0
4.107950960E-1,5.495011806E-1,-1.027179956E0,-3.017218113E0
4.132976320E-1,6.649401188E-1,-1.062098742E0,-3.052194118E0
4.158003990E-1,7.204439640E-1,-1.162425280E0,-3.072141647E0
4.183031630E-1,7.400646210E-1,-1.233141899E0,-3.068240166E0
4.208059330E-1,6.815273762E-1,-1.251007080E0,-3.002729893E0
4.233087020E-1,2.462360859E-1,-1.073349714E0,-2.868284702E0
4.258114670E-1,1.335279942E-1,-1.072850466E0,-2.786024570E0
4.283142360E-1,3.009929657E-1,-1.199738860E0,-2.670822620E0
4.308170050E-1,1.941733360E-1,-1.179680824E0,-2.406321526E0
4.333197040E-1,5.664515495E-2,-1.203289509E0,-2.170860767E0
4.358224710E-1,-1.376070976E-1,-1.312546492E0,-2.004133224E0
4.383252350E-1,-2.910950184E-1,-1.420093179E0,-1.878777504E0
4.408280040E-1,-7.010450363E-1,-1.410193205E0,-1.768827915E0
4.433307740E-1,-9.690949917E-1,-1.463143229E0,-1.770777702E0
4.458335430E-1,-8.081450462E-1,-1.657093287E0,-1.775727749E0
4.483360830E-1,-7.271449566E-1,-1.777093291E0,-1.593777657E0
4.508388510E-1,-6.671450138E-1,-1.906093240E0,-1.480827808E0
4.533418510E-1,-6.410450935E-1,-2.030143261E0,-1.394727707E0
4.558443910E-1,-6.410450935E-1,-2.100193262E0,-1.385727882E0
4.583471580E-1,-1.143270254E0,-1.892686725E0,-1.366072178E0
4.608499570E-1,-1.317920208E0,-1.958966255E0,-1.508482456E0
4.633527260E-1,-1.323035717E0,-2.041554213E0,-1.593356133E0
4.658554950E-1,-1.349724054E0,-2.087655544E0,-1.672786713E0
4.683581890E-1,-1.414575577E0,-2.074304104E0,-1.731814861E0
4.708610340E-1,-1.385316849E0,-2.097663403E0,-1.807092190E0
4.733637280E-1,-1.406887770E0,-2.225331783E0,-1.850570202E0
4.758664900E-1,-1.452304602E0,-2.391623259E0,-1.953258514E0
4.783692590E-1,-1.518134356E0,-2.452589750E0,-2.075714111E0
4.808720290E-1,-1.520177126E0,-2.524034977E0,-2.260868549E0
4.833747980E-1,-1.623015642E0,-2.640372753E0,-2.452834129E0
4.858775670E-1,-1.681065798E0,-2.771322727E0,-2.702734470E0
4.883801080E-1,-1.786065817E0,-2.845422745E0,-2.867734432E0
4.908828750E-1,-1.860015631E0,-2.915322781E0,-3.092734337E0
4.933856440E-1,-1.798065662E0,-3.051372766E0,-3.384784222E0
4.958884130E-1,-1.889115810E0,-3.176322937E0,-3.590734482E0
4.983911820E-1,-1.894065619E0,-3.327372789E0,-3.806734562E0
5.008939520E-1,-1.865115643E0,-3.516372919E0,-4.055734158E0
5.033967210E-1,-2.256835699E0,-3.485929012E0,-4.141614437E0
5.058994900E-1,-2.075018167E0,-3.323832512E0,-4.589447498E0
5.084022400E-1,-1.890883923E0,-3.066633463E0,-4.992449760E0
5.109050100E-1,-1.554980516E0,-2.860594273E0,-5.392472267E0
5.134077380E-1,-1.507082939E0,-2.627156258E0,-5.580065727E0
5.159105050E-1,-1.041678190E0,-2.753525972E0,-5.798025131E0
5.184132450E-1,-7.132787704E-1,-2.972556591E0,-5.834579468E0
5.209160150E-1,-6.222872734E-1,-3.216165304E0,-5.706009865E0
5.234187840E-1,-5.006794930E-1,-3.462939024E0,-5.631926060E0
5.259215670E-1,-6.017241478E-1,-3.687663317E0,-5.427370071E0
5.284243360E-1,-1.136269569E0,-3.724240780E0,-5.008269310E0
5.309268770E-1,-1.232269287E0,-3.839140892E0,-4.901319504E0
5.334296440E-1,-1.447219372E0,-3.812140942E0,-4.779369354E0
5.359324130E-1,-1.893169403E0,-3.769240856E0,-4.642269135E0
5.384351830E-1,-1.857169390E0,-3.901240826E0,-4.616319656E0
5.409379520E-1,-2.008219481E0,-3.927190781E0,-4.503369331E0
5.434407210E-1,-2.221219301E0,-3.901240826E0,-4.379319191E0
5.459434900E-1,-2.302219391E0,-4.018240929E0,-4.242369652E0
5.484462600E-1,-2.657155752E0,-4.124765396E0,-4.033943176E0
5.509490300E-1,-2.734356403E0,-4.327307701E0,-4.102985859E0
5.534518000E-1,-2.951309204E0,-4.457633495E0,-3.976272106E0
5.559545110E-1,-2.984442949E0,-4.589678288E0,-3.992850304E0
5.584572790E-1,-2.926675081E0,-4.766159058E0,-4.088891029E0
5.609600480E-1,-2.946148634E0,-4.856980324E0,-4.104735374E0
5.634628170E-1,-2.685148716E0,-5.076880455E0,-4.290735722E0
5.659655770E-1,-2.521369457E0,-5.151813507E0,-4.390024185E0
5.684683460E-1,-2.474691868E0,-5.188791275E0,-4.465235233E0
5.709708870E-1,-2.085247040E0,-5.409502506E0,-4.627040863E0
5.734736440E-1,-1.729202747E0,-5.549969196E0,-4.727234840E0
5.759764130E-1,-1.622138500E0,-5.554062366E0,-4.806897163E0
5.784791830E-1,-1.618668079E0,-5.422872543E0,-4.867337227E0
5.809819710E-1,-1.605619907E0,-5.232163906E0,-4.955774307E0
5.834847400E-1,-1.749795437E0,-4.996673584E0,-4.809803963E0
5.859875140E-1,-2.195998669E0,-4.479176521E0,-4.316849709E0
5.884902840E-1,-2.119048595E0,-4.338176727E0,-4.210799694E0
5.909930540E-1,-2.015998363E0,-4.350176334E0,-4.081799507E0
5.934958240E-1,-1.823998451E0,-4.367276192E0,-3.904799700E0
5.959985160E-1,-1.561048508E0,-4.455176353E0,-3.645749807E0
5.985012840E-1,-1.390948772E0,-4.611176491E0,-3.374849796E0
6.010040530E-1,-1.256998539E0,-4.709276199E0,-3.166799784E0
6.035068220E-1,-1.147048473E0,-4.834226608E0,-2.941799641E0
6.060095910E-1,-1.263126850E0,-4.743735313E0,-2.464672327E0
6.085123610E-1,-1.386205673E0,-4.706020832E0,-2.086882353E0
6.110151250E-1,-1.375673294E0,-4.809132576E0,-1.823254824E0
6.135176650E-1,-1.454413414E0,-4.841739655E0,-1.458004236E0
6.160206780E-1,-1.522353649E0,-4.891590118E0,-1.209466934E0
6.185232190E-1,-1.648613453E0,-4.811306000E0,-7.704024315E-1
6.210259860E-1,-1.895695686E0,-4.761180401E0,-4.102511406E-1
6.235287690E-1,-1.952007294E0,-4.813796043E0,-1.212434769E-1
6.260315380E-1,-1.880851269E0,-4.852996826E0,1.125664711E-1
6.285342940E-1,-1.888522625E0,-4.895732403E0,3.566317558E-1
6.310369880E-1,-1.876927376E0,-4.630973816E0,3.659081459E-1
