"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
2.432887955E0,2.981250048E0,2.008125114E1,-2.298750114E1
2.452894104E0,1.331250072E0,1.848750114E1,-2.115000153E1
2.472895232E0,1.312500000E0,1.968750000E1,-2.317500114E1
2.492891542E0,2.250000089E-1,1.974375153E1,-2.176875114E1
2.512894914E0,2.625000179E-1,1.828125000E1,-2.154375076E1
2.532894289E0,-1.875000000E-1,1.873125076E1,-2.225625038E1
2.552889535E0,7.500000000E-1,1.792500114E1,-2.133750153E1
2.572892939E0,6.937500238E-1,1.719375038E1,-2.002500153E1
2.592892129E0,1.743750095E0,1.747500038E1,-2.263125038E1
2.612886113E0,2.025000095E0,1.702500153E1,-2.283750153E1
2.632889643E0,2.943750143E0,1.539375019E1,-2.190000153E1
2.652888787E0,3.881250143E0,1.486875057E1,-2.088750076E1
2.672883799E0,5.962500095E0,1.509375095E1,-2.210625076E1
2.692887475E0,4.162500381E0,1.451250076E1,-2.088750076E1
2.712885436E0,4.781250000E0,1.479375076E1,-2.218125153E1
2.732892261E0,2.625000000E0,1.466250038E1,-2.158125114E1
2.752892895E0,1.650000095E0,1.351875019E1,-2.308125114E1
2.772889441E0,1.387500048E0,1.295625019E1,-2.488125038E1
2.792894281E0,3.562500179E-1,1.053750038E1,-2.525625038E1
2.812892539E0,2.137500048E0,7.631250381E0,-2.521875191E1
2.832888214E0,3.431250095E0,7.031250477E0,-2.349375153E1
2.852892063E0,4.462500095E0,6.581250191E0,-2.580000114E1
2.872891097E0,5.887500286E0,5.512500286E0,-2.516250038E1
2.892885954E0,5.512500286E0,5.887500286E0,-2.548125076E1
2.912888263E0,5.981250286E0,5.156250000E0,-2.566875076E1
2.932887480E0,6.225000381E0,4.237500191E0,-2.495625114E1
2.952893941E0,5.925000191E0,2.943750143E0,-2.563125038E1
2.972894421E0,5.943750381E0,3.318750143E0,-2.625000191E1
2.992890858E0,5.193750381E0,2.193750143E0,-2.422500038E1
3.012894486E0,6.112500191E0,2.493750095E0,-2.563125038E1
3.032894113E0,5.493750095E0,2.193750143E0,-2.482500076E1
3.052889509E0,5.306250095E0,2.287500143E0,-2.512500191E1
3.072893118E0,5.043750286E0,3.487500191E0,-2.544375038E1
3.092892277E0,4.518750191E0,4.931250095E0,-2.546250153E1
3.112886333E0,3.206250191E0,5.287500381E0,-2.377500153E1
3.132889826E0,2.775000095E0,7.200000286E0,-2.430000114E1
3.152888581E0,1.631250024E0,8.737500191E0,-2.321250153E1
3.172883672E0,1.762500048E0,1.003125000E1,-2.343750000E1
3.192887230E0,4.143750191E0,1.091250038E1,-2.415000153E1
3.212884927E0,4.275000095E0,1.145625019E1,-2.476875114E1
3.232891319E0,4.012500286E0,1.053750038E1,-2.343750000E1
3.252892224E0,5.118750095E0,1.130625057E1,-2.375625038E1
3.272889098E0,5.362500191E0,1.295625019E1,-2.398125076E1
3.292893904E0,5.193750381E0,1.351875019E1,-2.439375114E1
3.312892408E0,3.675000191E0,1.466250038E1,-2.471250153E1
3.332888269E0,2.306250095E0,1.528125095E1,-2.441250038E1
3.352892315E0,1.425000072E0,1.554375076E1,-2.401875114E1
3.372891093E0,1.106250048E0,1.736250114E1,-2.475000191E1
3.392885906E0,-4.312500060E-1,1.751250076E1,-2.486250114E1
3.412888297E0,-7.687500119E-1,1.631250000E1,-2.463750076E1
3.432887045E0,-1.818750024E0,1.646250153E1,-2.525625038E1
3.452893622E0,-1.237500072E0,1.573125076E1,-2.574375153E1
3.472894533E0,-1.631250024E0,1.545000076E1,-2.593125153E1
3.492891440E0,-2.025000095E0,1.599375057E1,-2.565000153E1
3.512894683E0,-1.575000048E0,1.627500153E1,-2.726250076E1
3.532894262E0,-3.018750191E0,1.524375057E1,-2.583750153E1
3.552889933E0,-3.562500238E0,1.541250038E1,-2.675625038E1
3.572893595E0,-4.725000381E0,1.610625076E1,-2.705625153E1
3.592892655E0,-4.293750286E0,1.575000095E1,-2.857500076E1
3.612887206E0,-3.637500048E0,1.511250019E1,-2.814375114E1
3.632890731E0,-2.737500191E0,1.606875038E1,-2.846250153E1
3.652889159E0,-1.856250048E0,1.571250057E1,-2.906250191E1
3.672895453E0,-1.612500072E0,1.616250038E1,-3.007500076E1
3.692896474E0,-3.375000060E-1,1.565625095E1,-3.106875038E1
3.712892386E0,1.668750048E0,1.430625057E1,-3.114375114E1
3.732896729E0,2.793750048E0,1.286250019E1,-3.101250076E1
3.752896159E0,4.181250095E0,1.290000057E1,-3.193125153E1
3.772891615E0,4.368750095E0,1.290000057E1,-3.161250114E1
3.792894819E0,2.737500191E0,1.295625019E1,-3.273750305E1
3.812893092E0,1.668750048E0,1.228125095E1,-3.322500229E1
